date,daily_number_of_reviews,daily_average_rating
2026-01-13,4,4.0
2026-01-14,66,4.242424242424242
2026-01-15,72,4.055555555555555
2026-01-16,89,3.853932584269663
2026-01-17,98,3.9183673469387754
2026-01-18,85,3.7411764705882353
2026-01-19,86,3.7325581395348837
2026-01-20,127,3.1102362204724407
2026-01-21,97,3.216494845360825
2026-01-22,115,3.626086956521739
2026-01-23,97,3.6804123711340204
2026-01-24,91,3.4285714285714284
2026-01-25,84,3.5833333333333335
2026-01-26,83,3.5301204819277108
2026-01-27,88,3.6818181818181817
2026-01-28,70,3.7285714285714286
2026-01-29,65,3.923076923076923
2026-01-30,99,3.7373737373737375
2026-01-31,73,3.8493150684931505
2026-02-01,70,3.8142857142857145
2026-02-02,77,3.6623376623376624
2026-02-03,74,3.581081081081081
2026-02-04,87,4.0
2026-02-05,72,4.138888888888889
2026-02-06,31,4.32258064516129
